AxisNo TryNo NewCalOff ContactTorque AveTorque Ip Kv ContactPoint
1 0 6.87468 3.25434 1.78313 1.97298 0.515296 0
1 1 6.87363 3.24125 1.7584 2.02871 0.481035 4.76639
1 2 6.87564 3.28671 1.79912 2.00521 0.50838 4.7669
2 0 5.15034 -6.78894 -4.81621 -5.51809 0.525626 0
2 1 5.14747 -6.81246 -4.83969 -5.61355 0.491174 -1.79526
2 2 5.15418 -6.84387 -4.8519 -5.39247 0.602843 -1.79302
3 0 0.871527 8.66931 6.72016 7.25204 0.607001 0
3 1 0.874882 9.02962 7.08058 7.7882 0.52288 -2.13891
3 2 0.879388 9.13857 7.19806 7.88728 0.53169 -2.14042
6 0 0.236868 2.50868 0.470727 0.614543 0.437661 0
6 1 0.237445 2.53908 0.487242 0.650769 0.433013 -25.8915
6 2 0.239457 2.55317 0.484479 0.681829 0.425038 -25.8929
